Categoria_Griglia,Nome_Griglia,Compito_Due,Compito_Tre,Cache_Usata,Sorted_Frontiera,Media_Cache_Hit,Media_Celle_Frontiera,Media_Iterazioni_Condizione,Tempo,Spazio_KB,Massima_Profondita,Esecuzioni_Corrette,Timeout,Destinazione_Irraggiungibile
Scacchiera,Griglia Media,V1,PERFORMANCE_FULL,true,true,0,130,0,5ms 924150ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_NO_CACHE,false,true,0,130,0,4ms 808990ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,0,130,0,5ms 829920ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,0,130,0,5ms 811120ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,130,0,4ms 448410ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,130,0,4ms 952200ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE,true,true,0,130,0,5ms 817370ns,204.69,131,true,false,false
Scacchiera,Griglia Piccola,V1,DEFAULT,false,false,0,84,0,1ms 586780ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_CACHE,true,false,1,62,0,2ms 161190ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,84,0,1ms 693650ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_FULL,true,true,1,62,0,1ms 827450ns,46.88,60,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_NO_CACHE,false,true,0,84,0,1ms 613380ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,1,62,0,1ms 851350ns,46.88,60,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,1,62,0,1ms 821580ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,84,0,1ms 788320ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,62,0,1ms 701100ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V1,PERFORMANCE,true,true,1,62,0,1ms 941510ns,46.88,60,true,false,false
Spirale,Griglia Grande,V0,DEFAULT,false,false,0,28,0,0ms 907380ns,101.95,29,true,false,false
Spirale,Griglia Grande,V0,PERFORMANCE_CACHE,true,false,0,28,0,1ms 735680ns,101.95,29,true,false,false
Spirale,Griglia Grande,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,28,0,0ms 898880ns,101.95,29,true,false,false
